date,MSFT,GOOGL,AMZN,JPM,JNJ,PG,XOM,CAT,NEE,APD,SPY
2015-08-10,40.636630126,32.8425390549,26.2,51.4367814934,73.3612006815,56.2152665837,48.8918957592,61.6945019371,19.8803038484,113.4044377532,175.4530473119
2015-08-11,39.8467357733,34.1876597846,26.373,50.9439918899,72.787779131,56.0975074498,48.5628455401,60.0628609178,19.8989655435,112.1431143808,173.8120536111
2015-08-12,40.1300674433,34.2456049707,26.2955,50.2048074847,72.5672323807,56.2226265296,49.3775532341,60.7401458692,20.2292775478,111.1340556829,174.0286314599
2015-08-13,40.1214816351,33.9999570024,26.483,50.4362692681,72.3981465389,55.7736698313,49.2898154824,59.8473611605,20.3263183626,111.4092535096,173.8453732801
2015-08-14,40.353298456,34.1416007906,26.576,50.690130579,72.6407479641,55.6559106973,49.1080729968,60.4091998134,20.3487123968,112.1736919171,174.3951478195
2015-08-17,40.6280443179,34.3763530829,26.761,50.8245277436,73.4200131483,55.5896711845,49.3650192695,60.4476819129,20.440154703,112.1889806853,175.3947378911
2015-08-18,40.8512753306,34.1099042785,26.751,50.9290588716,73.0524352312,55.2952733495,48.8197918128,60.6631816702,20.436422364,111.6309406478,174.8699531035
2015-08-19,40.2808957723,34.3728862769,26.646,50.4736018139,73.0083258812,54.5519188163,47.7732057753,59.5779864639,20.3543109053,110.5760156455,173.4955167551
2015-08-20,39.4598948931,33.6517906279,25.789,49.2341612959,72.6260448475,54.3973599529,46.7328867199,58.8083444737,20.2012850051,107.3118636454,169.9386420838
2015-08-21,37.2215872327,31.8961010156,24.7235,47.4869981562,70.802858379,52.8738511571,45.2037430483,57.7231492675,19.9605491376,105.1026366477,164.6241548699
2015-08-24,36.0203333146,30.612392278,23.1685,44.985717593,68.7727220044,50.8866657711,43.0667020973,56.0453297288,19.2290106875,101.1504900809,157.8519321351
2015-08-25,34.9746374578,30.3330667656,23.3185,44.7318562821,67.2241873245,50.3567496682,43.060435115,55.4604018162,18.7568698001,103.0539417156,155.9610409163
2015-08-26,36.91047111,32.6741513347,25.0385,46.9718090253,70.4694418211,52.1820162449,45.4356213919,56.8534538185,19.115174347,105.33196817,162.1668292773
2015-08-27,37.9388827377,33.0812534112,25.9185,48.1440509609,71.2918693305,52.6088931056,46.9083622233,58.231112981,19.22799261,107.5182620154,165.8986322112
